scenario,variable,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,Units
SSP2-4p5,temperature,0.140869,0.161462,0.182314,0.200093,0.214113,0.228589,0.2341408,0.2396926,0.2452444,0.2507962,0.256348,0.282695,0.31061,0.338848,0.363544,0.368953333,0.374362667,0.379772,0.385181333,0.390590667,0.396,0.430787,0.4629,0.501564,0.536796,0.566878,0.588518,0.60596,0.625823,0.644215,0.66345,0.685244,0.710173,0.734424,0.762785,0.788636,0.817347,0.847728,0.876439,0.904312,0.932224,0.959635,0.986686,1.01347,1.04007,1.06657,1.09129,1.1149,1.13771,1.16101,1.18474,1.20872,1.23291,1.2573,1.2819,1.3065,1.33113,1.35582,1.38059,1.40547,1.43053,1.45553,1.48032,1.50484,1.52902,1.55314,1.57712,1.60089,1.6244,1.64763,1.6704,1.69282,1.71492,1.7367,1.75815,1.77881,1.79881,1.81825,1.83719,1.85569,1.87387,1.89165,1.90904,1.92605,1.94271,1.95901,1.97484,1.99024,2.00523,2.01986,2.03401,2.04771,2.06099,2.0739,2.08645,2.09861,2.11036,2.12172,2.13272,2.14336,2.15362,2.16349,2.17301,2.18212,2.19086,2.19924,2.20724,2.21486,2.22213,2.22904,2.23552,2.24167,2.24759,2.25333,2.25894,2.2645,2.26994,2.27525,2.28045,2.28552,2.29047,2.29527,2.29992,2.30446,2.30887,degreesC
SSP3-6p6,temperature,0.140869,0.161462,0.182314,0.200093,0.214113,0.228589,0.2341408,0.2396926,0.2452444,0.2507962,0.256348,0.282695,0.31061,0.338848,0.363544,0.368953333,0.374362667,0.379772,0.385181333,0.390590667,0.396,0.430787,0.4629,0.501564,0.536796,0.566878,0.588518,0.60596,0.625823,0.644215,0.66345,0.68521,0.710076,0.734246,0.762512,0.788255,0.816869,0.847165,0.875795,0.903591,0.931428,0.958776,0.985774,1.01251,1.03908,1.06555,1.08938,1.11178,1.13328,1.15529,1.17831,1.20198,1.22614,1.25071,1.27563,1.30072,1.32597,1.35137,1.37693,1.40264,1.42824,1.4537,1.47907,1.50436,1.52961,1.55501,1.58046,1.60592,1.63138,1.65684,1.68219,1.7075,1.73279,1.75807,1.78336,1.80881,1.83436,1.85999,1.88569,1.91143,1.93719,1.96294,1.9887,2.01447,2.04027,2.06615,2.09203,2.11793,2.14383,2.16974,2.19565,2.22154,2.2474,2.27325,2.2991,2.32503,2.35099,2.37698,2.40298,2.42901,2.45508,2.48116,2.50726,2.53338,2.55952,2.58581,2.61217,2.63858,2.66502,2.69149,2.71796,2.74443,2.77091,2.7974,2.8239,2.85044,2.87701,2.9036,2.9302,2.95683,2.98353,3.01027,3.03705,3.06385,3.09068,degreesC
GCAM_SSP4,temperature,0.140869,0.161462,0.182314,0.200093,0.214113,0.228589,0.2341408,0.2396926,0.2452444,0.2507962,0.256348,0.282695,0.31061,0.338848,0.363544,0.368953333,0.374362667,0.379772,0.385181333,0.390590667,0.396,0.430787,0.4629,0.501564,0.536796,0.566878,0.588518,0.60596,0.625823,0.644215,0.6679074,0.6915998,0.7152922,0.7389846,0.762677,0.791958,0.821239,0.85052,0.879801,0.909082,0.9364176,0.9637532,0.9910888,1.0184244,1.04576,1.071196,1.096632,1.122068,1.147504,1.17294,1.200626,1.228312,1.255998,1.283684,1.31137,1.328350429,1.345330857,1.362311286,1.379291714,1.396272143,1.413252571,1.430233,1.447213429,1.464193857,1.481174286,1.498154714,1.515135143,1.532115571,1.549096,1.566076429,1.583056857,1.600037286,1.617017714,1.633998143,1.650978571,1.667959,1.684939429,1.701919857,1.718900286,1.735880714,1.752861143,1.769841571,1.786822,1.803802429,1.820782857,1.837763286,1.854743714,1.871724143,1.888704571,1.905685,1.922665429,1.939645857,1.956626286,1.973606714,1.990587143,2.007567571,2.024548,2.041528429,2.058508857,2.075489286,2.092469714,2.109450143,2.126430571,2.143411,2.160391429,2.177371857,2.194352286,2.211332714,2.228313143,2.245293571,2.262274,2.279254429,2.296234857,2.313215286,2.330195714,2.347176143,2.364156571,2.381137,2.398117429,2.415097857,2.432078286,2.449058714,2.466039143,2.483019571,2.5,degreesC
